country_name,country_iso,provider,region_code,gpu_class,budget_usd,reference_hours,normalization_method,availability_class,alpha_availability,on_demand_usd_per_gpu_hr,nominal_run_cost_usd,ppp_factor,normalization_value,adjusted_run_cost_usd,runs_per_budget,affordable_chips,eca_economic_tflops,eca_nominal_tflops,bis_tier,eca_scenario_a,eca_scenario_b_low,eca_scenario_b_mid,eca_scenario_b_high,eca_scenario_c,eca_continuous_tflops,eca_continuous_scenario_a,eca_continuous_scenario_b_mid,ratio_to_usa_scenario_a,is_local_region,data_sovereignty_class
United States,USA,aws,us-east-1,H100_SXM5,10000.0,720,ppp,GA,1.0,3.933,2831.76,1.0,1.0,2831.76,3.531,3,2968.5,2968.5,1,2968.5,2968.5,2968.5,2968.5,2968.5,3494.3,3494.3,3494.3,1.0,True,none
United States,USA,aws,us-east-1,A100_SXM4,10000.0,720,ppp,GA,1.0,1.475,1062.0,1.0,1.0,1062.0,9.416,9,2808.0,2808.0,1,2808.0,2808.0,2808.0,2808.0,2808.0,2937.9,2937.9,2937.9,1.0,True,none
United States,USA,gcp,us-central1,H100_SXM5,10000.0,720,ppp,GA,1.0,3.82,2750.4,1.0,1.0,2750.4,3.636,3,2968.5,2968.5,1,2968.5,2968.5,2968.5,2968.5,2968.5,3597.7,3597.7,3597.7,1.0,True,none
United States,USA,gcp,us-central1,A100_SXM4,10000.0,720,ppp,GA,1.0,1.47,1058.4,1.0,1.0,1058.4,9.448,9,2808.0,2808.0,1,2808.0,2808.0,2808.0,2808.0,2808.0,2947.8,2947.8,2947.8,1.0,True,none
United States,USA,azure,eastus,H100_SXM5,10000.0,720,ppp,GA,1.0,12.29,8848.8,1.0,1.0,8848.8,1.13,1,989.5,989.5,1,989.5,989.5,989.5,989.5,989.5,1118.2,1118.2,1118.2,1.0,True,none
United States,USA,azure,eastus,A100_SXM4,10000.0,720,ppp,GA,1.0,4.648,3346.56,1.0,1.0,3346.56,2.988,2,624.0,624.0,1,624.0,624.0,624.0,624.0,624.0,932.3,932.3,932.3,1.0,True,none
Germany,DEU,aws,eu-central-1,H100_SXM5,10000.0,720,ppp,GA,1.0,3.933,2831.76,0.76,0.76,3726.0,2.684,2,1979.0,2968.5,1,1979.0,1979.0,1979.0,1979.0,1979.0,2655.7,2655.7,2655.7,0.667,True,cross_border_restricted
Germany,DEU,aws,eu-central-1,A100_SXM4,10000.0,720,ppp,GA,1.0,1.475,1062.0,0.76,0.76,1397.37,7.156,7,2184.0,2808.0,1,2184.0,2184.0,2184.0,2184.0,2184.0,2232.8,2232.8,2232.8,0.778,True,cross_border_restricted
Germany,DEU,gcp,us-central1,H100_SXM5,10000.0,720,ppp,GA,1.0,3.82,2750.4,0.76,0.76,3618.95,2.763,2,1979.0,2968.5,1,1979.0,1979.0,1979.0,1979.0,1979.0,2734.2,2734.2,2734.2,0.667,False,cross_border_restricted
Germany,DEU,gcp,us-central1,A100_SXM4,10000.0,720,ppp,GA,1.0,1.47,1058.4,0.76,0.76,1392.63,7.181,7,2184.0,2808.0,1,2184.0,2184.0,2184.0,2184.0,2184.0,2240.4,2240.4,2240.4,0.778,False,cross_border_restricted
