normalization_method,country_iso,country_name,provider,gpu_class,eca_scenario_a,eca_scenario_b_mid,runs_per_budget,ratio_to_usa
ppp,USA,United States,aws,H100_SXM5,2968.5,2968.5,3.531,1.0
ppp,USA,United States,aws,A100_SXM4,2808.0,2808.0,9.416,1.0
ppp,USA,United States,gcp,H100_SXM5,2968.5,2968.5,3.636,1.0
ppp,USA,United States,gcp,A100_SXM4,2808.0,2808.0,9.448,1.0
ppp,USA,United States,azure,H100_SXM5,989.5,989.5,1.13,1.0
ppp,USA,United States,azure,A100_SXM4,624.0,624.0,2.988,1.0
ppp,DEU,Germany,aws,H100_SXM5,1979.0,1979.0,2.684,0.667
ppp,DEU,Germany,aws,A100_SXM4,2184.0,2184.0,7.156,0.778
ppp,DEU,Germany,gcp,H100_SXM5,1979.0,1979.0,2.763,0.667
ppp,DEU,Germany,gcp,A100_SXM4,2184.0,2184.0,7.181,0.778
ppp,DEU,Germany,azure,H100_SXM5,0.0,0.0,0.859,0.0
ppp,DEU,Germany,azure,A100_SXM4,312.0,312.0,1.525,0.5
ppp,JPN,Japan,aws,H100_SXM5,1979.0,1979.0,2.189,0.667
ppp,JPN,Japan,aws,A100_SXM4,1560.0,1560.0,5.838,0.556
ppp,JPN,Japan,gcp,H100_SXM5,1979.0,1979.0,2.05,0.667
ppp,JPN,Japan,gcp,A100_SXM4,1560.0,1560.0,5.316,0.556
ppp,JPN,Japan,azure,H100_SXM5,0.0,0.0,0.469,0.0
ppp,JPN,Japan,azure,A100_SXM4,312.0,312.0,1.45,0.5
ppp,GBR,United Kingdom,aws,H100_SXM5,2968.5,2968.5,3.002,1.0
ppp,GBR,United Kingdom,aws,A100_SXM4,2496.0,2496.0,8.004,0.889
ppp,GBR,United Kingdom,gcp,H100_SXM5,2968.5,2968.5,3.09,1.0
ppp,GBR,United Kingdom,gcp,A100_SXM4,2496.0,2496.0,8.031,0.889
ppp,GBR,United Kingdom,azure,H100_SXM5,0.0,0.0,0.742,0.0
ppp,GBR,United Kingdom,azure,A100_SXM4,624.0,624.0,2.081,1.0
ppp,IND,India,aws,H100_SXM5,0.0,0.0,0.848,0.0
ppp,IND,India,aws,A100_SXM4,624.0,312.0,2.26,0.222
ppp,IND,India,gcp,H100_SXM5,0.0,0.0,0.831,0.0
ppp,IND,India,gcp,A100_SXM4,624.0,312.0,2.165,0.222
ppp,IND,India,azure,H100_SXM5,0.0,0.0,0.271,0.0
ppp,IND,India,azure,A100_SXM4,0.0,0.0,0.495,0.0
ppp,BRA,Brazil,aws,H100_SXM5,494.8,247.4,1.377,0.167
ppp,BRA,Brazil,aws,A100_SXM4,936.0,468.0,3.672,0.333
ppp,BRA,Brazil,gcp,H100_SXM5,989.5,494.8,1.418,0.333
ppp,BRA,Brazil,gcp,A100_SXM4,936.0,468.0,3.685,0.333
ppp,BRA,Brazil,azure,H100_SXM5,0.0,0.0,0.441,0.0
ppp,BRA,Brazil,azure,A100_SXM4,0.0,0.0,0.619,0.0
ppp,ARE,United Arab Emirates,aws,H100_SXM5,1979.0,989.5,2.225,0.667
ppp,ARE,United Arab Emirates,aws,A100_SXM4,1560.0,780.0,5.932,0.556
ppp,ARE,United Arab Emirates,gcp,H100_SXM5,1979.0,989.5,2.291,0.667
ppp,ARE,United Arab Emirates,gcp,A100_SXM4,1560.0,780.0,5.952,0.556
ppp,ARE,United Arab Emirates,azure,H100_SXM5,0.0,0.0,0.483,0.0
ppp,ARE,United Arab Emirates,azure,A100_SXM4,312.0,156.0,1.365,0.5
ppp,SGP,Singapore,aws,H100_SXM5,1979.0,989.5,2.048,0.667
ppp,SGP,Singapore,aws,A100_SXM4,1560.0,780.0,5.461,0.556
ppp,SGP,Singapore,gcp,H100_SXM5,989.5,494.8,1.965,0.333
ppp,SGP,Singapore,gcp,A100_SXM4,1560.0,780.0,5.098,0.556
ppp,SGP,Singapore,azure,H100_SXM5,0.0,0.0,0.655,0.0
ppp,SGP,Singapore,azure,A100_SXM4,312.0,156.0,1.733,0.5
ppp,NGA,Nigeria,aws,H100_SXM5,0.0,0.0,0.706,0.0
ppp,NGA,Nigeria,aws,A100_SXM4,312.0,156.0,1.883,0.111
ppp,NGA,Nigeria,gcp,H100_SXM5,0.0,0.0,0.727,0.0
ppp,NGA,Nigeria,gcp,A100_SXM4,312.0,156.0,1.89,0.111
ppp,NGA,Nigeria,azure,H100_SXM5,0.0,0.0,0.226,0.0
ppp,NGA,Nigeria,azure,A100_SXM4,0.0,0.0,0.598,0.0
ppp,CHN,China,aws,H100_SXM5,0.0,0.0,1.73,0.0
ppp,CHN,China,aws,A100_SXM4,0.0,0.0,4.614,0.0
ppp,CHN,China,gcp,H100_SXM5,0.0,0.0,1.782,0.0
ppp,CHN,China,gcp,A100_SXM4,0.0,0.0,4.63,0.0
